ArraySize,MetalTime,MetalSD,BLASTime,BLASSD,vDSPTime,vDSPSD
1024,169.199997,90.914902,0.500000,4.775981,0.200000,1.794438
2048,171.600006,119.697701,0.000000,0.000000,0.000000,0.000000
4096,141.419998,55.727589,0.010000,0.099499,0.000000,0.000000
8192,165.509995,103.811981,0.010000,0.099499,0.010000,0.099499
16384,157.009995,78.164764,1.000000,0.000000,0.990000,0.099499
32768,199.529999,392.973938,1.840000,0.392938,1.230000,0.443960
65536,208.020004,183.739822,3.400000,2.521904,3.050000,0.259808
131072,446.809998,2361.574463,7.490000,0.964313,6.950000,0.668954
262144,289.000000,465.548065,15.230000,1.295029,13.380000,0.869253
524288,380.730011,440.693268,33.139999,12.803923,27.100000,1.615550
1048576,572.200012,644.533386,100.320000,31.062805,74.260002,15.027719
134217728,29233.630859,10669.426758,29861.779297,7724.792969,28877.269531,715.268372
268435456,61940.460938,58544.203125,61134.468750,24247.294922,60036.539062,15934.250977
536870912,123982.039062,113244.765625,123162.226562,47127.792969,120816.890625,21162.843750
